Id,SalePrice
1461,118595.76569277207
1462,155807.63540513278
1463,177665.53328876977
1464,196813.56766687552
1465,201115.3003461538
1466,167737.20500536723
1467,175681.8127776741
1468,162281.93241295317
1469,191227.99636401687
1470,118650.8373841151
1471,188663.02605515093
1472,95653.06041406837
1473,93053.0792387224
1474,143584.32508458386
1475,107291.57122950666
1476,344489.7976250588
1477,254734.1535418781
1478,291901.7877692023
1479,288965.017369541
1480,452015.67391876597
1481,333705.0768388396
1482,221031.3347132513
1483,178212.1767632977
1484,162779.490527492
1485,203093.1086442748
1486,194739.24910228103
1487,328530.17854595376
1488,239847.9081170974
1489,190618.019739352
1490,239854.2326143366
1491,197933.30567667578
1492,92883.06039213654
1493,186167.55426472146
1494,300533.1209654997
1495,290100.4205757851
1496,231482.20010830436
1497,172877.05154587858
1498,175190.8934618653
1499,163979.8682938072
1500,158925.13221531236
1501,175128.12386554803
1502,144746.059614673
1503,285174.16178090277
1504,241414.56945483084
1505,226157.6844716267
1506,188464.7623981232
1507,241460.70784792115
1508,199757.78270453747
1509,158902.43691130637
1510,143117.81132789183
1511,153645.74903021695
1512,174286.25211816587
1513,149730.3077966439
1514,152512.34038568995
1515,187075.39470107434
1516,156536.55201671246
1517,166688.94377501117
1518,127757.70765859859
1519,207829.74679826823
1520,126994.25764157363
1521,127831.24671146464
1522,179973.5209309728
1523,106816.25791040782
1524,123442.7978699674
1525,118946.94235270956
1526,111350.83058898649
1527,105461.54738451955
1528,133756.40573521194
1529,151467.6431710917
1530,191879.5532024139
1531,107184.01728180125
1532,99221.46055750547
1533,153007.2829947846
1534,118984.34406133855
1535,146531.90615200376
1536,105653.56526950862
1537,62647.59213628258
1538,156200.9461339273
1539,198960.960136031
1540,100231.32869488644
1541,141982.93700673798
1542,139201.7674785318
1543,185874.14833548394
1544,88366.30924356425
1545,118164.75479672714
1546,144463.18193957073
1547,133056.55480781235
1548,140368.9855184607
1549,126300.11346611095
1550,136904.37870220593
1551,103557.87932173257
1552,137465.52533202863
1553,151244.48625167337
1554,116526.47605907025
1555,164787.31841667832
1556,88204.24609905953
1557,104767.8666577549
1558,99885.0363676436
1559,66912.31559350101
1560,139163.18866069114
1561,127246.6732985424
1562,132767.83601333716
1563,119558.5407852038
1564,155112.07023120506
1565,147201.49164079712
1566,239320.02164058996
1567,74639.32884962874
1568,248866.02352600073
1569,123332.7388441214
1570,143379.38536711843
1571,121279.56755493386
1572,138776.2808591152
1573,223981.56889743183
1574,125470.39704469494
1575,237653.6946745193
1576,255177.97447111944
1577,179054.98702941573
1578,139044.84009772385
1579,151032.55597375397
1580,194591.50063382022
1581,156492.71653804329
1582,125978.14242357692
1583,293063.64234544255
1584,215288.0591542393
1585,137022.38235233637
1586,65008.060238474376
1587,107431.3219453915
1588,148282.55732868987
1589,97383.0117393704
1590,132981.27859692645
1591,92955.75901884674
1592,110123.37807073513
1593,126014.57722192278
1594,119383.63633971651
1595,109257.25871167111
1596,211886.13739288604
1597,197235.00483293633
1598,235491.95816320213
1599,170190.5549982027
1600,167268.53326620677
1601,65363.03827069975
1602,113743.62616257978
1603,71782.22070972547
1604,255166.41433974652
1605,248430.74905901268
1606,169585.4914443644
1607,175519.2537101539
1608,224399.17726423612
1609,180422.37298146347
1610,152829.7956046954
1611,141276.09121271258
1612,169487.5712639741
1613,165587.04620429984
1614,126918.2515433502
1615,92720.43003474484
1616,79084.54388241438
1617,92798.09127320156
1618,126894.54944220957
1619,141096.4893469003
1620,160603.7945279467
1621,136259.37815362343
1622,141530.81729374174
1623,258650.34708271243
1624,214603.37929281077
1625,115202.07523407448
1626,175346.93385877277
1627,190721.6503389133
1628,275587.0200426082
1629,187930.49463043408
1630,337021.4159358734
1631,236828.56384360636
1632,245904.8074077506
1633,179227.3715946197
1634,182065.54090947757
1635,177495.34817873273
1636,152662.45387176762
1637,197219.3614824682
1638,181149.25325560762
1639,187910.62796627183
